Name,Amount
Pastry - Banana Muffin - Mini,548
Macaroons - Two Bite Choc,122
Bread - Wheat Baguette,337
"Chicken - White Meat, No Tender",65
Yams,204
"Lemonade - Strawberry, 591 Ml",800
Venison - Ground,273
Pepper - Red Bell,153
"Soup - Knorr, Ministrone",185
Wine - Carmenere Casillero Del,533
Maple Syrup,394
The Pop Shoppe - Lime Rickey,203
Water - Green Tea Refresher,918
"Water - Spring Water, 355 Ml",868
"Salt - Rock, Course",804
Nori Sea Weed - Gold Label,946
Potatoes - Idaho 80 Count,385
Beef - Top Sirloin - Aaa,444
Sauerkraut,52
Pastry - Raisin Muffin - Mini,733
Cleaner - Pine Sol,138
French Pastries,965
Dc Hikiage Hira Huba,63
"Coconut - Creamed, Pure",326
Squid - U 5,627
Tuna - Salad Premix,155
"Pasta - Fettuccine, Dry",109
"Chilli Paste, Ginger Garlic",157
"Olives - Black, Pitted",784
"Pasta - Lasagna Noodle, Frozen",552
"Sprite, Diet - 355ml",951
Cheese - Grana Padano,444
"Sugar - Brown, Individual",459
Star Fruit,128
Lamb Tenderloin Nz Fr,229
"Oil - Olive, Extra Virgin",433
Cinnamon - Stick,980
Canadian Emmenthal,265
Broccoli - Fresh,280
Wine - Sogrape Mateus Rose,51
"Tortillas - Flour, 8",421
Calvados - Boulard,205
"Juice - Grape, White",998
"Liners - Banana, Paper",741
"Flour - Buckwheat, Dark",699
Appetizer - Chicken Satay,779
"Oranges - Navel, 72",175
Wine - Zinfandel California 2002,122
Island Oasis - Mango Daiquiri,921
Tart - Pecan Butter Squares,225
Wine - Balbach Riverside,957
Nantuket Peach Orange,661
Mushrooms - Honey,644
Gatorade - Xfactor Berry,792
Beer - Upper Canada Lager,940
Chinese Foods - Chicken,298
"Wine - Saint - Bris 2002, Sauv",162
Veal - Loin,286
Lady Fingers,691
Pur Source,458
"Gingerale - Schweppes, 355 Ml",210
Mustard - Seed,367
Wine - Alsace Riesling Reserve,738
Bread - Granary Small Pull,986
"Jam - Strawberry, 20 Ml Jar",326
Cut Wakame - Hanawakaba,851
Tomatoes - Cherry,204
Numi - Assorted Teas,201
Table Cloth 54x72 White,658
Wonton Wrappers,280
Tuna - Fresh,307
"Salmon - Atlantic, Fresh, Whole",88
Beer - Sleemans Cream Ale,799
Cumin - Whole,798
Table Cloth 91x91 Colour,149
Chocolate Bar - Coffee Crisp,53
Cake - Mini Potato Pancake,117
"Fish - Base, Bouillion",186
Capon - Whole,614
Fireball Whisky,159
Juice Peach Nectar,409
Wine - Barolo Fontanafredda,86
Table Cloth 62x114 Colour,686
Soap - Mr.clean Floor Soap,914
Shrimp - Black Tiger 13/15,532
Juice - Ocean Spray Kiwi,824
Chocolate - White,153
Cranberries - Fresh,800
"Pepper - Paprika, Spanish",94
Table Cloth - 53x69 Colour,751
"Clams - Littleneck, Whole",963
"Sugar - Sweet N Low, Individual",576
"Pesto - Primerba, Paste",142
Puree - Blackcurrant,589
Clams - Canned,573
Pepper - Pablano,98
Compound - Orange,204
Beef - Bresaola,393
Triple Sec - Mcguinness,506
Pomello,577
Parsley - Dried,555
Beer - Heinekin,534
Cup - Translucent 7 Oz Clear,750
Browning Caramel Glace,941
Onions - Red Pearl,269
Wine - Peller Estates Late,237
Broom - Angled,717
Scallop - St. Jaques,502
"Nut - Peanut, Roasted",768
Sandwich Wrap,882
